Lat (DD),Long (DD),Depth
50.399198489,-003.513717537,2.06000
50.399198546,-003.513691295,2.17300
50.399198260,-003.513663507,2.31500
50.399199348,-003.513635890,2.46700
50.399199750,-003.513606211,2.60400
50.399202156,-003.513552238,2.55200
50.399202958,-003.513551150,2.52400
50.399216423,-003.513506230,2.55000
50.399199635,-003.513467670,2.68500
50.399199979,-003.513466925,2.68700
50.399200208,-003.513438850,2.74500
50.399206109,-003.513410088,2.89000
50.399212355,-003.513381726,3.07600
50.399215907,-003.513354797,3.25800
50.399200609,-003.513298475,3.50700
50.399199921,-003.513297444,3.42800
50.399209375,-003.513248972,3.41300
50.399203302,-003.513228173,3.66000
50.399201755,-003.513192364,3.66700
50.399217855,-003.513167268,3.59000
50.399218027,-003.513157241,3.67200
50.399201640,-003.513103612,3.55200
50.399200781,-003.513091351,3.53600
50.399200895,-003.513045629,3.44800
50.399201354,-003.513017669,3.32300
50.399201468,-003.512997157,3.18100
50.399201354,-003.512962264,2.76200
50.399218256,-003.512943012,2.85000
50.399210292,-003.512738524,3.16400
50.399220147,-003.512732680,3.54400
50.399202442,-003.512693890,3.68800
50.399204333,-003.512679108,3.92000
50.399203245,-003.512637225,4.27100
50.399218199,-003.512597633,4.41200
50.399220548,-003.512567095,4.24000
50.399218084,-003.512546239,4.06400
50.399206510,-003.512524524,3.95700
50.399215850,-003.512507278,4.12100
50.399215907,-003.512322270,3.99500
50.399213844,-003.512293622,3.74200
50.399205594,-003.512273970,3.75000
50.399219975,-003.512255463,3.71500
50.399207313,-003.512226815,3.86300
50.399204734,-003.512176166,3.74200
50.399207771,-003.512145570,3.56700
50.399205135,-003.512127292,3.28000
50.399213157,-003.512116292,3.32900
50.399213501,-003.510794020,4.38800
50.399214303,-003.510792816,4.38000
50.399219173,-003.510738328,4.42000
50.399228684,-003.510730307,4.35700
50.399211209,-003.510698221,4.44500
50.399219517,-003.510653416,4.40800
